"hawker","type","stars","votes","status","address","datetime"
"Adam Indian Rojak and Mee Goreng","Hawker Stall ","4.0","1","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Marhabah Hot & Cold Drinks Stall","Hawker Stall ","5.0","1","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"8 Satay Power & Nasi Lemak","Restaurant ","5.0","1","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"GRIDDLE","Hawker Stall ","5.0","1","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Hot & Cool Cafe","Hawker Stall ","5.0","1","Active","Bedok Food Centre 1, Bedok Road, S(469572)","2024-10-06"
"Cantonese Claypot Rice (Guang Dong Sha Bao Fan)廣東砂煲","Hawker Stall ","4.4","181","Active","Beo Crescent Market 38A, Beo Crescent, S(169982)","2024-10-06"
"Chef Wang Fried Rice","Hawker Stall ","3.9","134","Active","Beo Crescent Market 38A, Beo Crescent, S(169982)","2024-10-06"
"MASALA CANTEEN by PasirPanjangBoy","Hawker Stall ","4.7","73","Active","Beo Crescent Market 38A, Beo Crescent, S(169982)","2024-10-06"
"Hai Chew Fish Soup","Hawker Stall ","4.3","65","Active","Beo Crescent Market 38A, Beo Crescent, S(169982)","2024-10-06"
"顺興卤面 Soon Heng Lor Mee","Hawker Stall ","3.9","48","Active","Beo Crescent Market 38A, Beo Crescent, S(169982)","2024-10-06"
"Fu Hua Soya Bean 福华豆花水 (#01-87)","Hawker Stall ","4.5","46","Active","Beo Crescent Market 38A, Beo Crescent, S(169982)","2024-10-06"
"Old Zion Road Hawker Centre Fried Kway Teow 大世界炒粿條 (#01-65)","Hawker Stall ","4.3","44","Active","Beo Crescent Market 38A, Beo Crescent, S(169982)","2024-10-06"
"Nan Yuan (since 1961)","Hawker Stall ","4.3","31","Active","Beo Crescent Market 38A, Beo Crescent, S(169982)","2024-10-06"
"Kia Xiang Du Du Nyonya Kueh (#01-88)","Hawker Stall ","4.5","24","Active","Beo Crescent Market 38A, Beo Crescent, S(169982)","2024-10-06"
"Heng Heng Cooked Food - Carrot Cake","Hawker Stall ","4.5","24","Unknown","Beo Crescent Market 38A, Beo Crescent, S(169982)","2024-10-06"
"Leek Hainanese Chicken Rice","Hawker Stall ","4.7","19","Active","Beo Crescent Market 38A, Beo Crescent, S(169982)","2024-10-06"
